"address","lpTokens","hopUserTokens","earlyMultiplier","volumeMultiplier","totalTokens"
"0x00000000005dbcb0d0513fcda746382fe8a53468","0","1409569202343098070948","1.4773202815079096","3","1409569202343098070948"
"0x00000000009a41862f3b2b0c688b7c0d1940511e","0","1259867659498471066358","1.320423319620712","3","1259867659498471066358"
"0x0000000000e52081b4531278fcd274e5f3cd86b5","0","1570263358989866329047","1.6457382182359965","3","1570263358989866329047"
"0x000000000a38444e0a6e37d3b630d7e855a7cb13","0","1267386738272568138214","1.3283038036386408","3","1267386738272568138214"
"0x000000000ecef000e9d22b7e0eb78ef2a8e698d5","0","1085258985936275398970","1.137422063384526","3","1085258985936275398970"
"0x00000000c222f1336b0167f60543996ddeeec492","0","485003823020609311626","1.5249467351433028","1","485003823020609311626"
"0x00000000cc0b822819f03424dacf9077fdaa58a3","0","1316860350211545154000","1.3801553694896889","3","1316860350211545154000"
"0x0000000367ba4371cb48816a1cf2f3902448f1bc","221547997985783820328","1249604120809267884152","1.3096664629581256","3","1471152118795051704480"
"0x00000003cd3aa7e760877f03275621d2692f5841","31095079104502677235","1656511574884563599313","1.7361319629157952","3","1687606653989066276548"
"0x0000000506063a51c6ce59906d8c40f7d7fe92a7","0","1389341675484802919393","1.456120516627383","3","1389341675484802919393"
"0x000000064730640b7d670408d74280924883064f","479849587854690257569","1621734281391404436160","1.6996830954689228","3","2101583869246094693729"
"0x000000ea0e309ba169bfa8010eb5e95db131940a","0","1001536073792149554658","1.0496750014227423","3","1001536073792149554658"
"0x0000a240a748224a0602b52814145b7a3ad55ef0","332264436833257590027","1346824113210126499085","1.4115593436361995","3","1679088550043384089112"
"0x0000ce08fa224696a819877070bf378e8b131acf","2165739381775674780","1684587547941259882657","1.7655574103154548","3","1686753287323035557437"
"0x0000d9a3b314efe192b292801a5112618dab6f42","0","1108486584548577586491","1.7426491481343174","2","1108486584548577586491"
"0x0000ecb341a3c0bb394f377d3a524703fb8b76fb","0","1400053465471139140087","1.4673471698287743","3","1400053465471139140087"
"0x0001196fccc127952fc5a6f3a5d5546c7487f78a","0","891098123685559504646","1.4008932609474236","2","891098123685559504646"
"0x000158e60c393b51fdfac71b14ce70b70148c326","116711488390752081148","1569800410299804564498","1.6452530178726594","3","1686511898690556645646"
"0x0001cf2b6528d6ebab8a8869fb8786c1398c5015","0","482649617901731590234","1.5175446545008628","1","482649617901731590234"
"0x0002fd0f1d0708fdf065d3625b2ee83d210d58d9","138185568751557764936","1003947060222786487730","1.5783028082217814","2","1142132628974344252666"
"0x00071508db163ee69814aad31562f44b787c2d4d","0","1148239041484138416452","1.2034292613544386","3","1148239041484138416452"
"0x0007448f4ba168e24c35f835eefa1a76587d691d","0","1346609331726515871199","1.4113342386599397","3","1346609331726515871199"
"0x000a0b24b1476f647a2a2fa4474f9ed32c685a8e","468332998846605708859","1404174146280781433191","1.4716659115575137","3","1872507145127387142050"
"0x000aba3fffb94d769c3aa1b3eacdc237de18802e","0","1501173178920584405616","1.5733272120223836","3","1501173178920584405616"
"0x000abfe337d7ef2ee79a3e48b515a3849c21e78e","0","428109754500295226563","1.346060672970169","1","428109754500295226563"
"0x000c1aede0824a53f5ba7d6c8cc66f4b4b631c1a","111849444980907518","459351538318987229216","1.4442909424506278","1","459463387763968136734"
"0x000cd27f10dffac73201258eaa3925c0452051a0","0","1390335150172884002701","1.4571617427718158","3","1390335150172884002701"
"0x000f4432a40560bbff1b581a8b7aded8dab80026","262790633216541343019","1623951170136834618669","1.7020065391849366","3","1886741803353375961688"
"0x0010f663eeaf1f77b48a256992fe2dbf0d8d8744","0","1543757013773819915493","1.6179578429899828","3","1543757013773819915493"
"0x0011ddd92e881709a997ca809813e0489d0e138b","0","1135130808962517956275","1.1896909803770157","3","1135130808962517956275"
"0x0014ea9bbe130c8af7f00c8e61fc07368bdaaf7d","0","952467682663088240025","1.4973722000381677","2","952467682663088240025"
"0x00194b4a1d57e72a26f6bfa6e382a146df73c322","0","1820240608860760351122","1.9077306486437897","3","1820240608860760351122"
"0x001b71fad769b3cd47fd4c9849c704fdfabf6096","266248461888109625431","1427289039297699657414","1.4958918241285426","3","1693537501185809282845"
"0x001be549fa377710b9e59d57bbdf593ce1e379ca","14295972589284322365","1065250691991302736068","1.674678103302552","2","1079546664580587058433"
